rule,count
findbugs:NM_CLASS_NOT_EXCEPTION,1
findbugs:ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,1
pmd:UselessOperationOnImmutable,1
findbugs:STCAL_INVOKE_ON_STATIC_CALENDAR_INSTANCE,1
squid:S2200,1
findbugs:BX_BOXING_IMMEDIATELY_UNBOXED,1
findbugs:UPM_UNCALLED_PRIVATE_METHOD,1
findbugs:IM_BAD_CHECK_FOR_ODD,1
findbugs:EC_UNRELATED_TYPES,1
findbugs:EQ_ALWAYS_TRUE,1
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.StringLiteralEqualityCheck,1
findbugs:CN_IDIOM,1
squid:S2273,1
squid:S1065,1
findbugs:NP_UNWRITTEN_FIELD,1
pmd:UnusedNullCheckInEquals,1
findbugs:MS_OOI_PKGPROTECT,1
squid:S1175,1
squid:S2162,1
pmd:CloseResource,1
findbugs:SWL_SLEEP_WITH_LOCK_HELD,1
squid:S2250,1
squid:S2134,1
squid:S2133,1
squid:S2254,1
findbugs:INT_BAD_COMPARISON_WITH_INT_VALUE,1
findbugs:ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD,1
